Device,tacacs,tacacs_missing,tacacs_extra
US-TX-DALQX3-MS1.DALQX3.chevrontexaco.net,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10","tacacs server 139.65.136.58
 address ipv4 139.65.136.58
tacacs server 139.65.137.160
 address ipv4 139.65.137.160
tacacs server US_ACS
 address ipv4 136.171.184.184
tacacs server EMEA_ACS
 address ipv4 146.38.86.23
tacacs server SG_ACS
 address ipv4 139.65.139.143"
HOU517-MS1,Non-compliant,,"tacacs server HOU_ACS
 key 7 06031D344F4B1A1606041B08
tacacs server NADC_ACS
 key 7 06031D344F4B1A1606041B08"
BKKHQ-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
SRICL3-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
PHRC-MS1,Non-compliant,,"tacacs server HOU_ACS
 key 7 06031D344F4B1A1606041B08
tacacs server NADC_ACS
 key 7 06031D344F4B1A1606041B08"
GB-LND-LONPWG-MS1.mpls0.chevron.net,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
COV100-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
SJCQX1RD10,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10","tacacs server 139.65.136.58
 address ipv4 139.65.136.58
tacacs server 139.65.143.4
 address ipv4 139.65.143.4"
SJCQX1SG10v,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
LAXQX1SG10,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
F30831-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
DSCR-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
BO1930-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
F06117-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
SINQX1RD10,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
SINQX1SG10v,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
MI630A-MS1,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
TOKQX4RD10,Non-compliant,"tacacs server HOU_ACS
 address ipv4 139.65.136.58
 timeout 10
tacacs server NADC_ACS
 address ipv4 139.65.143.4
 timeout 10",
